,,,,,,한국 상위(%),,,,,,,,,,,,,,,전년 대비(%),,,,,,,,,,,,,,""
회사명,업계,응답(명),BIE(점),한국 상위(%),동의어,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,심리적안전감,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,"심리적안전감"
유안타증권,증권 ,13,54,23%,"유안타증권, 유안타",13%,25%,84%,56%,29%,24%,23%,23%,32%,40%,46%,42%,26%,20%,61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
KT,IT ,61,54,24%,"케이티, KT, 크트",32%,18%,16%,15%,15%,43%,44%,20%,13%,19%,16%,21%,31%,38%,18%,11%,30%,34%,36%,11%,30%,34%,36%,34%,2%,13%,15%,24%,25%,"15%"
한국GM,자동차 ,36,54,22%,"한국 GM, 한국GM, 한국지엠, GM, GM korea, 지엠, 한국 지엠",32%,51%,56%,19%,5%,41%,32%,36%,8%,21%,10%,31%,62%,12%,16%,7%,13%,26%,22%,7%,13%,26%,22%,-1%,28%,15%,8%,8%,23%,"42%"
한솔케미칼,자동차 ,14,54,24%,한솔케미칼,9%,15%,31%,17%,30%,58%,74%,37%,76%,82%,25%,24%,3%,25%,49%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
화신,자동차 ,18,54,24%,화신,23%,26%,12%,13%,53%,15%,13%,13%,32%,55%,53%,20%,17%,32%,24%,7%,11%,9%,180%,7%,11%,9%,180%,46%,15%,15%,32%,33%,0%,"46%"
유니투스,자동차 ,10,54,22%,#N/A,77%,65%,75%,83%,75%,66%,1%,96%,96%,93%,88%,27%,11%,58%,74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
네슬레코리아,식음료,12,54,22%,#N/A,15%,3%,9%,32%,9%,29%,37%,8%,30%,50%,33%,18%,60%,15%,14%,-5%,21%,9%,29%,-5%,21%,9%,29%,22%,-6%,-14%,2%,2%,-13%,"-16%"
파나시아,조선 ,10,54,22%,#N/A,6%,14%,13%,12%,3%,15%,19%,4%,2%,1%,3%,1%,8%,6%,11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼진제약,제약-바이오 ,11,54,23%,#N/A,32%,32%,28%,7%,57%,29%,51%,92%,82%,72%,53%,64%,71%,85%,90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국바스프,에너지-화학 ,14,54,23%,#N/A,58%,50%,40%,45%,36%,37%,19%,30%,64%,40%,53%,24%,33%,40%,30%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
SC제일은행,은행 ,14,53,25%,"SC제일은행, Standard Chartered, 스탠다드차타드, 제일은행, SC Bank, SC은행, SC 제일은행",58%,41%,8%,14%,51%,54%,51%,63%,82%,64%,38%,79%,46%,59%,85%,4%,-1%,27%,42%,4%,-1%,27%,42%,53%,-25%,-7%,1%,-4%,-24%,"-12%"
공항철도,철도,11,53,25%,공항철도,14%,9%,30%,2%,5%,2%,8%,11%,8%,1%,1%,15%,21%,35%,28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
멀티캠퍼스,교육-출판 ,10,53,25%,멀티캠퍼스,41%,32%,77%,16%,21%,40%,45%,17%,21%,13%,6%,50%,24%,30%,45%,2%,9%,5%,-12%,2%,9%,5%,-12%,62%,10%,14%,1%,19%,17%,"13%"
신한투자증권,증권 ,25,53,25%,"신한금융투자, 신한 금융투자",21%,26%,70%,96%,51%,47%,23%,36%,30%,46%,37%,24%,20%,17%,49%,0%,78%,28%,-42%,0%,78%,28%,-42%,-36%,6%,-17%,1%,33%,11%,"-4%"
약사,제약-바이오 ,18,53,24%,약사,73%,83%,68%,56%,62%,11%,43%,47%,61%,82%,53%,16%,26%,42%,7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
우아한청년들,물류,11,53,26%,우아한청년들,54%,31%,62%,16%,5%,32%,19%,28%,32%,32%,39%,20%,15%,30%,28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
이녹스첨단소재,반도체 ,10,53,25%,"이녹스첨단소재, 이녹스, Innox, 이녹스첨단",57%,55%,76%,69%,88%,32%,46%,68%,43%,64%,72%,32%,14%,36%,75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
중소벤처기업진흥공단,공공기관 ,19,53,25%,"중소벤처기업진흥공단, 중진공, 중소기업공단, 중소기업진흥공단",52%,23%,28%,29%,85%,66%,32%,45%,47%,57%,84%,54%,15%,19%,28%,2%,12%,28%,56%,2%,12%,28%,56%,39%,-18%,-7%,24%,-14%,-12%,"-15%"
티케이엘리베이터코리아,전자-기계 ,13,53,25%,"티케이엘리베이터코리아, TK엘리베이터, 티케이엘리베이터 한국, 티케이엘리베이터, TK엘리베이터코리아, TK elevator, TK elevator korea",28%,15%,19%,8%,4%,13%,9%,47%,61%,15%,6%,22%,47%,47%,49%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
하이퍼커넥트,IT ,19,53,25%,하이퍼,12%,59%,68%,51%,63%,47%,46%,45%,40%,74%,76%,40%,34%,49%,50%,-1%,34%,-3%,-4%,-1%,34%,-3%,-4%,23%,-9%,0%,-2%,10%,8%,"-9%"
한국가스기술공사,에너지-화학 ,31,53,24%,"한국가스기술공사, 가스공사, 가기공, 가스기술공사",53%,28%,24%,23%,35%,39%,31%,13%,22%,50%,13%,17%,31%,31%,9%,11%,18%,63%,61%,11%,18%,63%,61%,18%,8%,19%,3%,59%,13%,"19%"
한국머스크,물류 ,13,53,25%,"한국머스크, Maersk, 머스크, 머스크 한국, 머스크코리아, 한국Maersk, Maersk Korea, Maersk코리아",17%,27%,30%,19%,51%,72%,35%,38%,40%,23%,22%,89%,65%,52%,50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국생산기술연구원,공공기관 ,14,53,24%,"한국생산기술연구원, 생산기술연구원, 생기원, Kitech",41%,40%,88%,82%,31%,29%,19%,24%,27%,35%,72%,71%,77%,94%,58%,3%,2%,28%,1%,3%,2%,28%,1%,-11%,26%,9%,34%,39%,15%,"-5%"
한독,제약-바이오 ,16,53,26%,"한독, Handok",7%,26%,50%,71%,36%,26%,22%,15%,24%,75%,31%,52%,85%,30%,65%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
헨켈코리아,리빙-뷰티 ,10,53,24%,"헨켈코리아, 헨켈, Henkel, 헨켈 한국, Henkel Korea",41%,23%,14%,16%,26%,83%,88%,63%,70%,14%,22%,36%,38%,52%,11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대무벡스,IT서비스 ,15,53,26%,현대무벡스,34%,43%,46%,54%,19%,3%,5%,8%,34%,40%,28%,3%,12%,44%,14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
나이스정보통신,금융,10,53,24%,#N/A,57%,55%,60%,15%,51%,66%,71%,92%,72%,88%,53%,67%,37%,77%,63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
컴투스,IT ,37,52,27%,"com2us, 컴투스",23%,44%,48%,61%,7%,34%,56%,16%,30%,36%,9%,17%,31%,23%,57%,0%,46%,27%,-6%,0%,46%,27%,-6%,-26%,13%,35%,16%,27%,1%,"41%"
코오롱인더스트리,자동차 ,22,52,28%,"KOLON INDUSTRIES, 코오롱인더스트리, 코오롱 인더스트리",32%,13%,59%,6%,15%,12%,21%,25%,21%,26%,33%,20%,44%,33%,37%,-2%,54%,26%,-25%,-2%,54%,26%,-25%,45%,8%,21%,8%,52%,17%,"-6%"
엔테크서비스,IT ,16,52,27%,"NTS, 엔테크서비스",55%,79%,66%,34%,13%,58%,85%,19%,24%,49%,31%,20%,62%,21%,26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
대한산업안전협회,공공기관,20,52,27%,대한산업안전협회,18%,35%,16%,28%,53%,34%,19%,76%,47%,36%,76%,62%,24%,52%,37%,-14%,7%,-8%,29%,-14%,7%,-8%,29%,-15%,-19%,2%,0%,-29%,0%,"1%"
동국제강,철강,32,52,26%,"동국제강, Dongkuk Steel, 동국steel, Dongkuk제강, 동국",46%,56%,26%,15%,60%,87%,77%,49%,74%,58%,76%,57%,31%,52%,76%,-1%,22%,18%,36%,-1%,22%,18%,36%,7%,-11%,-19%,-14%,-6%,-18%,"-5%"
삼성바이오에피스,제약-바이오 ,15,52,27%,"삼성바이오에피스, 삼바, Samsung Bioepis, 삼성bioepis, Saumsung바이오에피스, 바이오에피스, 삼성, Samsung",57%,42%,23%,39%,54%,66%,74%,37%,40%,10%,37%,19%,31%,64%,67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
슈피겐코리아,전자-기계 ,10,52,27%,"슈피겐코리아, 슈퍼겐, Spigen, 슈퍼겐 한국, Spigen Korea ",48%,50%,63%,22%,26%,66%,51%,23%,14%,65%,26%,62%,31%,19%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
스마일게이트엔터테인먼트,IT ,32,52,28%,"스마일 게이트, Smilegate, 스마일게이트, 스마일게이트 엔터테인먼트, 스마일게이트엔터테인먼트, 스게",23%,25%,33%,42%,39%,29%,47%,26%,27%,46%,61%,19%,23%,44%,37%,-4%,18%,24%,25%,-4%,18%,24%,25%,-1%,-6%,13%,24%,37%,28%,"16%"
우리은행,은행 ,45,52,26%,우리은행,34%,16%,14%,24%,27%,30%,35%,31%,25%,30%,29%,26%,7%,12%,33%,9%,52%,86%,32%,9%,52%,86%,32%,68%,83%,68%,25%,56%,53%,"39%"
유한킴벌리,리빙-뷰티 ,11,52,28%,"유한킴벌리, Yuhan kimberly, 유한, Yuhan",7%,17%,56%,44%,33%,32%,19%,38%,40%,23%,12%,33%,31%,30%,11%,-4%,46%,49%,-12%,-4%,46%,49%,-12%,-3%,-4%,5%,19%,-3%,2%,"-1%"
이수페타시스,전자-기계 ,15,52,26%,이수페타시스,12%,11%,21%,6%,78%,17%,29%,37%,57%,68%,74%,74%,4%,30%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국해양교통안전공단,공공기관 ,10,52,28%,"한국해양교통안전공단, 해양교통안전공단, 해양교통공단, 해양안전공단, KOMSA",16%,19%,83%,12%,79%,73%,78%,84%,91%,86%,67%,83%,88%,68%,63%,10%,67%,70%,-28%,10%,67%,70%,-28%,39%,0%,63%,36%,-17%,-3%,"12%"
한화엔진,전자-기계 ,11,52,26%,한화엔진,61%,50%,8%,67%,59%,88%,75%,39%,59%,93%,88%,86%,31%,40%,53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
HD현대인프라코어,건설-중공업 ,26,52,27%,"현대두산인프라코어, 두인, 두산인프라코어, 두산인프라, 두산 인프라코어",42%,37%,86%,34%,16%,15%,51%,13%,18%,55%,29%,22%,18%,24%,36%,0%,44%,10%,-7%,0%,44%,10%,-7%,24%,6%,21%,-5%,21%,15%,"-7%"
팔도,식음료 ,11,52,26%,#N/A,14%,17%,96%,12%,10%,24%,3%,4%,1%,4%,12%,1%,31%,7%,5%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
의사,병원 ,14,52,27%,#N/A,34%,31%,36%,51%,51%,5%,0%,90%,0%,92%,53%,30%,12%,17%,4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
스크린에스피이코리아,반도체 ,12,52,27%,#N/A,45%,21%,20%,44%,77%,32%,5%,38%,23%,23%,80%,54%,4%,14%,36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
에코프로,전자-기계 ,10,52,27%,#N/A,25%,25%,39%,77%,21%,17%,89%,93%,50%,40%,28%,65%,35%,79%,25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국공항,항공 ,15,52,28%,#N/A,3%,5%,50%,24%,36%,66%,68%,23%,10%,5%,72%,24%,31%,10%,25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
HD현대삼호,조선 ,26,52,28%,#N/A,48%,54%,65%,31%,63%,30%,28%,30%,40%,83%,72%,86%,17%,40%,70%,5%,39%,-1%,-16%,5%,39%,-1%,-16%,6%,13%,26%,19%,24%,9%,"-6%"
강원랜드,공기업 ,15,51,29%,강원랜드,50%,20%,19%,17%,87%,34%,52%,63%,52%,67%,19%,62%,31%,19%,57%,-8%,33%,26%,9%,-8%,33%,26%,9%,15%,-18%,11%,-23%,-18%,-8%,"1%"
국토안전관리원,정부·공공기관 ,18,51,28%,"국토안전관리원, 국토안전원",43%,67%,68%,12%,24%,53%,21%,55%,83%,83%,31%,69%,59%,42%,37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
금호석유화학,에너지-화학,38,51,31%,금호석유화학,50%,51%,57%,26%,33%,47%,51%,52%,31%,44%,11%,56%,37%,45%,45%,-16%,-13%,-10%,-13%,-16%,-13%,-10%,-13%,-8%,16%,2%,5%,10%,25%,"7%"
한화오션,건설-중공업 ,52,51,29%,"대우조선해양, 대조양, DSME, 대우조선",21%,17%,63%,31%,34%,13%,12%,10%,17%,16%,33%,28%,16%,8%,16%,14%,49%,56%,11%,14%,49%,56%,11%,13%,-10%,26%,19%,21%,11%,"28%"
동부건설,건설-중공업,18,51,29%,"동부건설, 동부, Dongbu, Dongbu건설",41%,28%,57%,27%,58%,26%,13%,76%,82%,55%,92%,76%,50%,64%,53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성전기,전자-기계 ,65,51,31%,삼성전기,58%,50%,34%,57%,54%,53%,52%,31%,41%,41%,53%,51%,41%,44%,61%,-8%,12%,4%,11%,-8%,12%,4%,11%,-23%,-8%,15%,10%,18%,12%,"12%"
서울시메트로9호선,철도 ,11,51,31%,"서울시메트로9호선, 9호선, 서울9호선, 서울, 서울시",54%,33%,36%,20%,89%,75%,88%,86%,94%,88%,42%,78%,60%,40%,74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
세메스,반도체 ,32,51,30%,"세메스, SEMES",35%,32%,51%,39%,23%,27%,41%,44%,19%,17%,27%,23%,9%,11%,29%,13%,43%,62%,82%,13%,43%,62%,82%,82%,27%,23%,14%,105%,27%,"1%"
수협중앙회,보험 ,10,51,29%,수협중앙회,31%,55%,36%,7%,10%,72%,51%,13%,35%,4%,10%,39%,20%,45%,45%,25%,38%,126%,188%,25%,38%,126%,188%,110%,44%,6%,48%,90%,42%,"159%"
AhnLab,IT ,21,51,30%,"안랩, 안철수 연구소, AhnLab, 안철수연구소",18%,50%,64%,60%,24%,17%,56%,50%,27%,52%,14%,22%,92%,33%,45%,-11%,24%,-7%,-33%,-11%,24%,-7%,-33%,-1%,-5%,-1%,-4%,-3%,17%,"7%"
종근당,제약-바이오 ,31,51,29%,종근당,75%,74%,33%,65%,59%,67%,27%,44%,64%,17%,54%,70%,19%,68%,77%,-1%,18%,39%,20%,-1%,18%,39%,20%,-28%,0%,11%,28%,45%,0%,"20%"
아모레퍼시픽,커머스 ,17,51,28%,"코스비전, Espoir, AMOREPACIFIC, Innisfree, 에스쁘아, 아모레퍼시픽, 이니스프리",48%,37%,74%,87%,65%,69%,65%,63%,59%,22%,46%,80%,66%,49%,61%,-1%,34%,26%,-4%,-1%,34%,26%,-4%,-50%,6%,15%,16%,43%,19%,"28%"
풍산,철강 ,16,51,30%,"풍산, Poongsan",69%,52%,46%,16%,18%,93%,54%,30%,49%,56%,27%,74%,32%,87%,54%,-7%,-8%,-1%,5%,-7%,-8%,-1%,5%,22%,26%,-22%,17%,27%,19%,"-14%"
한국산업은행,은행 ,16,51,30%,"한국 산업은행, KDB산업은행, KDB산은, 산은, 한국산업은행, KDB 산업은행, KDB, 산업은행, KDB 산은",55%,65%,32%,56%,37%,66%,58%,76%,59%,52%,14%,43%,47%,48%,32%,-17%,-4%,-23%,-1%,-17%,-4%,-23%,-1%,-48%,-22%,-11%,-4%,-35%,-31%,"-9%"
한국자동차연구원,자동차 ,10,51,30%,"한국자동차연구원, 자동차연구원, Katech",48%,40%,30%,30%,19%,37%,26%,13%,91%,25%,82%,32%,41%,85%,20%,-24%,-21%,-30%,-24%,-24%,-21%,-30%,-24%,3%,-2%,-9%,-4%,23%,-18%,"17%"
한화생명,보험 ,23,51,31%,"한생, Hanwha Life, 한화생명",45%,74%,39%,20%,44%,68%,95%,84%,89%,69%,38%,78%,52%,92%,70%,5%,20%,1%,30%,5%,20%,1%,30%,63%,7%,-1%,-22%,-15%,-17%,"-4%"
현대로템,전자-기계 ,49,51,29%,"현대로템, 현대 로템",60%,59%,31%,38%,42%,40%,51%,49%,40%,46%,54%,50%,23%,49%,47%,-18%,-20%,-20%,-17%,-18%,-20%,-20%,-17%,-39%,-12%,-15%,-2%,-22%,-9%,"-7%"
한화세미텍,전자-기계 ,11,51,28%,#N/A,26%,39%,39%,41%,26%,30%,45%,23%,40%,82%,41%,24%,12%,30%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
타타대우모빌리티,자동차 ,10,51,29%,#N/A,57%,50%,67%,51%,51%,73%,5%,69%,18%,72%,38%,71%,46%,59%,58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
코카콜라음료,식음료 ,12,51,29%,#N/A,60%,73%,22%,20%,9%,45%,75%,23%,50%,82%,77%,37%,88%,40%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
서연이화,자동차 ,19,51,29%,#N/A,42%,43%,56%,24%,85%,29%,26%,44%,66%,64%,82%,51%,15%,30%,62%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
HD현대미포,방산 ,16,51,30%,#N/A,35%,17%,36%,48%,61%,44%,29%,15%,24%,56%,70%,52%,23%,17%,16%,24%,32%,74%,129%,24%,32%,74%,129%,3%,-15%,43%,17%,31%,18%,"-5%"
아진산업,자동차 ,10,51,30%,#N/A,91%,13%,11%,53%,87%,40%,81%,10%,13%,34%,99%,67%,3%,48%,74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
엠로,IT서비스 ,16,51,30%,#N/A,29%,43%,50%,38%,19%,52%,51%,28%,32%,52%,37%,15%,32%,6%,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한화파워시스템,전자-기계 ,10,51,30%,#N/A,16%,39%,67%,77%,18%,30%,5%,39%,59%,46%,53%,27%,24%,6%,23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
경보제약,제약-바이오,12,51,31%,#N/A,27%,34%,9%,33%,86%,66%,61%,24%,29%,42%,73%,84%,26%,78%,37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
HD현대건설기계,전자-기계 ,13,50,34%,"HD현대건설기계, 현대건설기계, HD현대건설, HD현대, HD Hyundai",44%,27%,48%,26%,73%,20%,60%,13%,27%,55%,38%,59%,37%,77%,45%,-5%,7%,-6%,-2%,-5%,7%,-6%,-2%,44%,26%,94%,1%,23%,15%,"-13%"
LSMnM,철강 ,13,50,33%,"LSMnM, LS엠앤엠, 엘에스엠앤엠, 엘에스MnM, LS, 엘에스",33%,21%,61%,26%,57%,20%,37%,13%,8%,2%,38%,17%,34%,6%,7%,-2%,24%,20%,24%,-2%,24%,20%,24%,23%,21%,18%,-15%,17%,17%,"13%"
LS엠트론,전자-기계 ,12,50,32%,"LS엠트론, LS Mtron, 엘에스엠트론, 엘에스Mtron, LS, 엘에스",22%,25%,13%,12%,7%,11%,1%,15%,13%,3%,6%,11%,52%,6%,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
OCI,에너지-화학 ,19,50,33%,"OCI, 오씨아이",19%,22%,64%,28%,39%,29%,47%,42%,43%,52%,24%,25%,31%,32%,61%,42%,141%,139%,660%,42%,141%,139%,660%,126%,195%,144%,56%,299%,144%,"210%"
TKG태광,패션,11,50,33%,"TKG태광, 태광실업, 티케이지태광, 태광, Taekwang",54%,50%,61%,67%,91%,24%,19%,42%,40%,62%,80%,92%,35%,79%,33%,11%,42%,52%,21%,11%,42%,52%,21%,-10%,-33%,36%,50%,56%,-1%,"-3%"
경기도청,정부·공공기관,10,50,33%,경기도청,48%,37%,18%,84%,51%,75%,28%,71%,44%,34%,53%,59%,75%,48%,32%,2%,16%,26%,31%,2%,16%,26%,31%,2%,138%,86%,79%,-17%,8%,"2%"
경기신용보증재단,금융,13,50,34%,"경기신용보증재단, 경기신보, 경기신보재단, 신용보증재단, 신보, 경기, 경기도",19%,17%,8%,13%,18%,50%,61%,9%,8%,28%,23%,53%,9%,47%,18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
농협정보시스템,IT서비스,16,50,32%,"농협정보시스템, 정보시스템, NH농협, NH, 농협, Nonghyup",60%,66%,40%,57%,30%,51%,62%,48%,70%,89%,41%,65%,26%,57%,30%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
DN솔루션즈,전자-기계,15,50,32%,두산공작기계,43%,69%,76%,77%,42%,58%,54%,42%,49%,41%,61%,31%,17%,49%,58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
디앤오,건설-중공업,10,50,32%,"디앤오, D&O, DNO",25%,31%,39%,46%,39%,40%,58%,25%,87%,34%,22%,8%,65%,4%,20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
라온시큐어,IT서비스,14,50,33%,"라온시큐어, Raon secure, 라온secure, Raon시큐어, 라온, Raon",9%,28%,63%,63%,3%,5%,5%,54%,3%,68%,3%,4%,57%,20%,11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
메가젠임플란트,제약-바이오 ,18,50,32%,"메가젠임플란트, 메가젠",16%,13%,5%,46%,23%,11%,2%,33%,52%,19%,53%,12%,4%,13%,30%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성화재해상보험,보험 ,25,50,32%,"삼성손해보험, 삼성화재해상보험, 삼성화재, 삼성화재 해상보험",57%,42%,27%,48%,80%,60%,73%,63%,64%,82%,69%,80%,22%,30%,45%,-10%,-2%,-28%,-1%,-10%,-2%,-28%,-1%,-14%,-28%,3%,-16%,-4%,-7%,"-11%"
시큐아이,IT서비스 ,16,50,32%,"시큐아이, Secui",43%,84%,81%,62%,80%,66%,75%,63%,35%,44%,78%,56%,87%,52%,34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
쌍용건설,건설-중공업 ,16,50,34%,"쌍용건설, Ssangyong건설, 쌍용, Ssangyong",35%,15%,56%,34%,85%,8%,19%,47%,52%,60%,62%,50%,22%,60%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대위아,전자-기계 ,22,50,34%,"위아, HYUNDAI WIA, 현대위아",65%,39%,36%,23%,51%,38%,45%,74%,64%,40%,43%,9%,1%,6%,14%,-17%,-36%,-18%,10%,-17%,-36%,-18%,10%,-15%,-4%,8%,7%,-21%,-4%,"-13%"
인천광역시교육청,정부·공공기관 ,15,50,34%,"인천광역시교육청, 인천시교육청",29%,62%,46%,57%,70%,50%,41%,36%,45%,75%,37%,65%,74%,57%,67%,-20%,-11%,-20%,-25%,-20%,-11%,-20%,-25%,-25%,-27%,-7%,-2%,-10%,-23%,"-28%"
전북은행,은행 ,16,50,31%,"전북은행, 전북, 전라북도",55%,50%,40%,57%,93%,15%,7%,54%,27%,14%,89%,59%,20%,17%,61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국공항공사,항공 ,28,50,33%,"한국공항공사, 공항공사",28%,10%,79%,22%,9%,48%,53%,23%,25%,35%,4%,17%,45%,30%,13%,-11%,85%,63%,-53%,-11%,85%,63%,-53%,22%,4%,-1%,9%,45%,49%,"-15%"
한국수자원공사,공기업 ,56,50,31%,"한국수자원공사, 수자원공사",41%,30%,58%,25%,21%,48%,33%,16%,20%,34%,34%,44%,25%,15%,24%,-14%,14%,-3%,-32%,-14%,14%,-3%,-32%,2%,3%,-2%,8%,-4%,0%,"5%"
한국연구재단,공공기관 ,12,50,31%,"한국연구재단, 연구재단, NRF",41%,28%,44%,17%,85%,37%,51%,36%,14%,14%,22%,71%,85%,30%,20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국화학융합시험연구원,공공기관,18,50,32%,"한국화학융합시험연구원, KTR, 화학시험연구원, 화학융합시험연구원",80%,56%,28%,65%,73%,66%,86%,88%,77%,21%,64%,76%,27%,84%,37%,-4%,-23%,5%,22%,-4%,-23%,5%,22%,28%,7%,-6%,-27%,-28%,-8%,"4%"
케이조선,건설-중공업 ,15,50,31%,#N/A,12%,7%,38%,16%,33%,9%,28%,36%,27%,8%,39%,6%,27%,16%,8%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
포티투닷,IT서비스 ,13,50,32%,#N/A,13%,34%,48%,12%,41%,18%,35%,16%,11%,32%,87%,20%,21%,14%,57%,-12%,-1%,-20%,54%,-12%,-1%,-20%,54%,4%,-25%,-17%,-10%,2%,5%,"-13%"
에코프로머티리얼즈,에너지-화학 ,12,50,33%,#N/A,72%,77%,32%,65%,85%,88%,95%,97%,98%,88%,69%,95%,85%,96%,53%,-12%,-21%,-38%,45%,-12%,-21%,-38%,45%,-12%,-18%,-39%,-14%,-46%,-52%,"-31%"
에이블리코퍼레이션,IT ,14,50,33%,#N/A,34%,74%,26%,22%,93%,40%,2%,86%,34%,69%,100%,99%,12%,20%,67%,-4%,8%,-27%,52%,-4%,8%,-27%,52%,53%,-32%,2%,14%,-42%,-9%,"-16%"
한국교육학술정보원,공공기관 ,10,50,33%,#N/A,57%,74%,90%,94%,39%,52%,71%,49%,59%,55%,61%,36%,23%,52%,54%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
하나머티리얼즈,에너지-화학 ,15,50,34%,#N/A,50%,52%,74%,51%,43%,69%,22%,37%,45%,40%,46%,16%,47%,42%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
대한무역투자진흥공사,정부·공공기관 ,20,49,35%,"KOTRA, 무역투자진흥공사, 코트라, 대한무역투자진흥공사",64%,75%,58%,51%,54%,90%,88%,63%,87%,91%,27%,83%,74%,66%,49%,-2%,21%,-18%,15%,-2%,21%,-18%,15%,28%,-17%,-18%,-7%,-19%,-32%,"-18%"
메리츠화재해상보험,보험 ,39,49,34%,"메리츠 화재, 메리츠화재",42%,35%,21%,39%,65%,60%,45%,20%,56%,64%,81%,78%,17%,26%,68%,-7%,10%,5%,26%,-7%,10%,5%,26%,1%,32%,2%,-3%,10%,2%,"16%"
삼성생명,보험 ,19,49,35%,"삼성생명, Samsung Life",81%,86%,13%,58%,54%,69%,71%,88%,91%,94%,78%,83%,57%,61%,87%,-24%,-44%,-50%,-11%,-24%,-44%,-50%,-11%,-20%,-31%,-17%,-11%,-27%,-31%,"-44%"
소만사,IT서비스 ,14,49,35%,"소만사, Somansa",21%,26%,56%,38%,55%,50%,78%,54%,76%,51%,62%,20%,44%,43%,57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
신한은행,은행 ,44,49,34%,"신한은행, Shinhan Bank",50%,18%,21%,34%,33%,58%,47%,48%,22%,30%,37%,73%,18%,46%,26%,-10%,11%,5%,19%,-10%,11%,5%,19%,13%,17%,10%,12%,-11%,0%,"-10%"
써모피셔사이언티픽코리아,제약-바이오 ,39,49,35%,"써모피셔사이언티픽코리아, 써모피셔, 써모피셔코리아, 써모피셔사이언티픽한국, Thermo Fisher, Thermo Fisher Scientific Korea, 써모피셔사이언티픽",42%,50%,57%,53%,44%,76%,79%,70%,61%,68%,57%,70%,40%,60%,72%,-23%,-22%,-24%,-33%,-23%,-22%,-24%,-33%,-29%,-4%,-33%,-23%,-26%,-24%,"-18%"
